src,rel,dst,evidence,value,strength
img_f3c15ccf,HAS_RIM,rim_8f8b30fc,,,
img_f3c15ccf,HAS_PATHOLOGY,path_576b7912,,,
img_f3c15ccf,HAS_DIAGNOSIS,diag_8b9d7298,,,
diag_8b9d7298,HAS_RISK,risk_high_risk,,,
od_6e5952ba,SUPPORTS_DIAGNOSIS,diag_8b9d7298,cup_to_disc_ratio,0.8,
rim_8f8b30fc,SUPPORTS_DIAGNOSIS,diag_8b9d7298,isnt_rule_violated,true,
path_576b7912,SUPPORTS_DIAGNOSIS,diag_8b9d7298,bayoneting,true,
img_c5b3a8a1,HAS_OPTIC_DISC,od_c1466d43,,,
img_c5b3a8a1,HAS_RIM,rim_cc9c2135,,,
img_c5b3a8a1,HAS_PATHOLOGY,path_3ceadd99,,,
img_c5b3a8a1,HAS_DIAGNOSIS,diag_f795886e,,,
diag_f795886e,HAS_RISK,risk_high_risk,,,
od_c1466d43,SUPPORTS_DIAGNOSIS,diag_f795886e,cup_to_disc_ratio,0.8,
rim_cc9c2135,SUPPORTS_DIAGNOSIS,diag_f795886e,isnt_rule_violated,true,
path_3ceadd99,SUPPORTS_DIAGNOSIS,diag_f795886e,bayoneting,true,
img_f892ce79,HAS_OPTIC_DISC,od_a0bdb035,,,
img_f892ce79,HAS_RIM,rim_bf9fb466,,,
img_f892ce79,HAS_PATHOLOGY,path_6dc04fb2,,,
img_f892ce79,HAS_DIAGNOSIS,diag_b6f92f48,,,
diag_b6f92f48,HAS_RISK,risk_very_healthy,,,
od_a0bdb035,SUPPORTS_DIAGNOSIS,diag_b6f92f48,cup_to_disc_ratio,0.4,
img_923eabe7,HAS_OPTIC_DISC,od_1f89bf22,,,
img_923eabe7,HAS_RIM,rim_facc60e2,,,
img_923eabe7,HAS_PATHOLOGY,path_4022a937,,,
img_923eabe7,HAS_DIAGNOSIS,diag_852107a2,,,
diag_852107a2,HAS_RISK,risk_very_healthy,,,
od_1f89bf22,SUPPORTS_DIAGNOSIS,diag_852107a2,cup_to_disc_ratio,0.4,
img_4febe13c,HAS_OPTIC_DISC,od_a3df15bb,,,
img_4febe13c,HAS_RIM,rim_446f224b,,,
img_4febe13c,HAS_PATHOLOGY,path_8617563d,,,
img_4febe13c,HAS_DIAGNOSIS,diag_dd97480c,,,
diag_dd97480c,HAS_RISK,risk_high_risk,,,
od_a3df15bb,SUPPORTS_DIAGNOSIS,diag_dd97480c,cup_to_disc_ratio,0.8,
rim_446f224b,SUPPORTS_DIAGNOSIS,diag_dd97480c,isnt_rule_violated,true,
path_8617563d,SUPPORTS_DIAGNOSIS,diag_dd97480c,"bayoneting,notching,laminar_dot_sign",true,
img_a1b55647,HAS_OPTIC_DISC,od_bf16fd8c,,,
img_a1b55647,HAS_RIM,rim_d61d6c54,,,
img_a1b55647,HAS_PATHOLOGY,path_458a843c,,,
img_a1b55647,HAS_DIAGNOSIS,diag_d394702a,,,
diag_d394702a,HAS_RISK,risk_very_healthy,,,
od_bf16fd8c,SUPPORTS_DIAGNOSIS,diag_d394702a,cup_to_disc_ratio,0.4,
img_9e17b6fc,HAS_OPTIC_DISC,od_f211f8c7,,,
img_9e17b6fc,HAS_RIM,rim_8d1798da,,,
img_9e17b6fc,HAS_PATHOLOGY,path_bd8c4bbf,,,
img_9e17b6fc,HAS_DIAGNOSIS,diag_a0721ea4,,,
diag_a0721ea4,HAS_RISK,risk_very_healthy,,,
od_f211f8c7,SUPPORTS_DIAGNOSIS,diag_a0721ea4,cup_to_disc_ratio,0.3,
img_0f6621da,HAS_OPTIC_DISC,od_c866260d,,,
img_0f6621da,HAS_RIM,rim_9be81d2e,,,
img_0f6621da,HAS_PATHOLOGY,path_cd443449,,,
img_0f6621da,HAS_DIAGNOSIS,diag_27b2cfdb,,,
diag_27b2cfdb,HAS_RISK,risk_very_healthy,,,
od_c866260d,SUPPORTS_DIAGNOSIS,diag_27b2cfdb,cup_to_disc_ratio,0.4,
img_1eb4c66c,HAS_OPTIC_DISC,od_e8e6eb58,,,
img_1eb4c66c,HAS_RIM,rim_5cafd45b,,,
img_1eb4c66c,HAS_PATHOLOGY,path_bf3cd2c4,,,
img_1eb4c66c,HAS_DIAGNOSIS,diag_89d02ee2,,,
diag_89d02ee2,HAS_RISK,risk_high_risk,,,
od_e8e6eb58,SUPPORTS_DIAGNOSIS,diag_89d02ee2,cup_to_disc_ratio,0.7,
rim_5cafd45b,SUPPORTS_DIAGNOSIS,diag_89d02ee2,isnt_rule_violated,true,
img_8e7bf24c,HAS_OPTIC_DISC,od_df75bb79,,,
img_8e7bf24c,HAS_RIM,rim_93a270b7,,,
img_8e7bf24c,HAS_PATHOLOGY,path_1515afe8,,,
img_8e7bf24c,HAS_DIAGNOSIS,diag_060cf00c,,,
diag_060cf00c,HAS_RISK,risk_high_risk,,,
od_df75bb79,SUPPORTS_DIAGNOSIS,diag_060cf00c,cup_to_disc_ratio,0.8,
rim_93a270b7,SUPPORTS_DIAGNOSIS,diag_060cf00c,isnt_rule_violated,true,
path_1515afe8,SUPPORTS_DIAGNOSIS,diag_060cf00c,"bayoneting,notching",true,
img_19125943,HAS_OPTIC_DISC,od_95099d04,,,
img_19125943,HAS_RIM,rim_0e282025,,,
img_19125943,HAS_PATHOLOGY,path_8cc37e58,,,
img_19125943,HAS_DIAGNOSIS,diag_be828b0e,,,
diag_be828b0e,HAS_RISK,risk_high_risk,,,
od_95099d04,SUPPORTS_DIAGNOSIS,diag_be828b0e,cup_to_disc_ratio,0.7,
rim_0e282025,SUPPORTS_DIAGNOSIS,diag_be828b0e,isnt_rule_violated,true,
img_c60876c2,HAS_OPTIC_DISC,od_b97e2cbe,,,
img_c60876c2,HAS_RIM,rim_08cbbc3a,,,
img_c60876c2,HAS_PATHOLOGY,path_0744b4e0,,,
img_c60876c2,HAS_DIAGNOSIS,diag_32f0a033,,,
diag_32f0a033,HAS_RISK,risk_high_risk,,,
od_b97e2cbe,SUPPORTS_DIAGNOSIS,diag_32f0a033,cup_to_disc_ratio,0.7,
rim_08cbbc3a,SUPPORTS_DIAGNOSIS,diag_32f0a033,isnt_rule_violated,true,
img_80f9b5f7,HAS_OPTIC_DISC,od_7fe5650e,,,
img_80f9b5f7,HAS_RIM,rim_52a1345c,,,
img_80f9b5f7,HAS_PATHOLOGY,path_b6dd70c7,,,
img_80f9b5f7,HAS_DIAGNOSIS,diag_ba5c16db,,,
diag_ba5c16db,HAS_RISK,risk_high_risk,,,
od_7fe5650e,SUPPORTS_DIAGNOSIS,diag_ba5c16db,cup_to_disc_ratio,0.7,
rim_52a1345c,SUPPORTS_DIAGNOSIS,diag_ba5c16db,isnt_rule_violated,true,
path_b6dd70c7,SUPPORTS_DIAGNOSIS,diag_ba5c16db,"bayoneting,notching,laminar_dot_sign",true,
img_454b03f1,HAS_OPTIC_DISC,od_ecd66887,,,
img_454b03f1,HAS_RIM,rim_e99c8371,,,
img_454b03f1,HAS_PATHOLOGY,path_ba2f5b0e,,,
img_454b03f1,HAS_DIAGNOSIS,diag_95016366,,,
diag_95016366,HAS_RISK,risk_high_risk,,,
od_ecd66887,SUPPORTS_DIAGNOSIS,diag_95016366,cup_to_disc_ratio,0.8,
rim_e99c8371,SUPPORTS_DIAGNOSIS,diag_95016366,isnt_rule_violated,true,
path_ba2f5b0e,SUPPORTS_DIAGNOSIS,diag_95016366,"bayoneting,notching,laminar_dot_sign",true,
img_956c4c2d,HAS_OPTIC_DISC,od_b03c3850,,,
img_956c4c2d,HAS_RIM,rim_83219170,,,
img_956c4c2d,HAS_PATHOLOGY,path_6c41d19e,,,
img_956c4c2d,HAS_DIAGNOSIS,diag_95afdb9b,,,
diag_95afdb9b,HAS_RISK,risk_moderate_risk,,,
od_b03c3850,SUPPORTS_DIAGNOSIS,diag_95afdb9b,cup_to_disc_ratio,0.7,
rim_83219170,SUPPORTS_DIAGNOSIS,diag_95afdb9b,isnt_rule_violated,true,
img_d6b91f39,HAS_OPTIC_DISC,od_3e6c91fe,,,
img_d6b91f39,HAS_RIM,rim_713b10b7,,,
img_d6b91f39,HAS_PATHOLOGY,path_1ccb92cf,,,
img_d6b91f39,HAS_DIAGNOSIS,diag_040a145e,,,
diag_040a145e,HAS_RISK,risk_high_risk,,,
od_3e6c91fe,SUPPORTS_DIAGNOSIS,diag_040a145e,cup_to_disc_ratio,0.7,
rim_713b10b7,SUPPORTS_DIAGNOSIS,diag_040a145e,isnt_rule_violated,true,
img_c73e6af1,HAS_OPTIC_DISC,od_b87d4e27,,,
img_c73e6af1,HAS_RIM,rim_ac30006e,,,
img_c73e6af1,HAS_PATHOLOGY,path_75981c3b,,,
img_c73e6af1,HAS_DIAGNOSIS,diag_0a98f2bd,,,
diag_0a98f2bd,HAS_RISK,risk_high_risk,,,
od_b87d4e27,SUPPORTS_DIAGNOSIS,diag_0a98f2bd,cup_to_disc_ratio,0.8,
rim_ac30006e,SUPPORTS_DIAGNOSIS,diag_0a98f2bd,isnt_rule_violated,true,
path_75981c3b,SUPPORTS_DIAGNOSIS,diag_0a98f2bd,"bayoneting,notching",true,
img_2928ea8f,HAS_OPTIC_DISC,od_cae1978f,,,
img_2928ea8f,HAS_RIM,rim_899370e5,,,
img_2928ea8f,HAS_PATHOLOGY,path_2b8b426d,,,
img_2928ea8f,HAS_DIAGNOSIS,diag_b3555fc3,,,
diag_b3555fc3,HAS_RISK,risk_high_risk,,,
od_cae1978f,SUPPORTS_DIAGNOSIS,diag_b3555fc3,cup_to_disc_ratio,0.8,
rim_899370e5,SUPPORTS_DIAGNOSIS,diag_b3555fc3,isnt_rule_violated,true,
path_2b8b426d,SUPPORTS_DIAGNOSIS,diag_b3555fc3,"bayoneting,notching",true,
img_4a3d927e,HAS_OPTIC_DISC,od_022ade82,,,
img_4a3d927e,HAS_RIM,rim_a1cb4e5d,,,
img_4a3d927e,HAS_PATHOLOGY,path_ab093ff5,,,
img_4a3d927e,HAS_DIAGNOSIS,diag_1e739cb4,,,
diag_1e739cb4,HAS_RISK,risk_very_healthy,,,
od_022ade82,SUPPORTS_DIAGNOSIS,diag_1e739cb4,cup_to_disc_ratio,0.4,
img_03a73854,HAS_OPTIC_DISC,od_7c54980c,,,
img_03a73854,HAS_RIM,rim_ac2e5bee,,,
img_03a73854,HAS_PATHOLOGY,path_4e7c8cbf,,,
img_03a73854,HAS_DIAGNOSIS,diag_ed9cc74e,,,
diag_ed9cc74e,HAS_RISK,risk_healthy,,,
od_7c54980c,SUPPORTS_DIAGNOSIS,diag_ed9cc74e,cup_to_disc_ratio,0.3,
img_c3887074,HAS_OPTIC_DISC,od_828bd175,,,
img_c3887074,HAS_RIM,rim_0665d387,,,
img_c3887074,HAS_PATHOLOGY,path_45893246,,,
img_c3887074,HAS_DIAGNOSIS,diag_f8e3e37e,,,
diag_f8e3e37e,HAS_RISK,risk_moderate_risk,,,
od_828bd175,SUPPORTS_DIAGNOSIS,diag_f8e3e37e,cup_to_disc_ratio,0.7,
rim_0665d387,SUPPORTS_DIAGNOSIS,diag_f8e3e37e,isnt_rule_violated,true,
img_bcb6cdef,HAS_OPTIC_DISC,od_872b3bc2,,,
img_bcb6cdef,HAS_RIM,rim_163bb7b4,,,
img_bcb6cdef,HAS_PATHOLOGY,path_4141621c,,,
img_bcb6cdef,HAS_DIAGNOSIS,diag_c17de1c1,,,
diag_c17de1c1,HAS_RISK,risk_very_healthy,,,
od_872b3bc2,SUPPORTS_DIAGNOSIS,diag_c17de1c1,cup_to_disc_ratio,0.4,
img_ed996152,HAS_OPTIC_DISC,od_496e5df7,,,
img_ed996152,HAS_RIM,rim_c19ca2b6,,,
img_ed996152,HAS_PATHOLOGY,path_2fb189a4,,,
img_ed996152,HAS_DIAGNOSIS,diag_f0e78369,,,
diag_f0e78369,HAS_RISK,risk_high_risk,,,
od_496e5df7,SUPPORTS_DIAGNOSIS,diag_f0e78369,cup_to_disc_ratio,0.8,
rim_c19ca2b6,SUPPORTS_DIAGNOSIS,diag_f0e78369,isnt_rule_violated,true,
path_2fb189a4,SUPPORTS_DIAGNOSIS,diag_f0e78369,"bayoneting,notching,laminar_dot_sign",true,
img_502d4068,HAS_OPTIC_DISC,od_946eb502,,,
img_502d4068,HAS_RIM,rim_cbf0631f,,,
img_502d4068,HAS_PATHOLOGY,path_49571c72,,,
img_502d4068,HAS_DIAGNOSIS,diag_37a6a05a,,,
diag_37a6a05a,HAS_RISK,risk_high_risk,,,
od_946eb502,SUPPORTS_DIAGNOSIS,diag_37a6a05a,cup_to_disc_ratio,0.8,
rim_cbf0631f,SUPPORTS_DIAGNOSIS,diag_37a6a05a,isnt_rule_violated,true,
path_49571c72,SUPPORTS_DIAGNOSIS,diag_37a6a05a,"bayoneting,notching,laminar_dot_sign",true,
img_c75e97ed,HAS_OPTIC_DISC,od_5891f7e2,,,
img_c75e97ed,HAS_RIM,rim_42983f61,,,
img_c75e97ed,HAS_PATHOLOGY,path_c4448bf7,,,
img_c75e97ed,HAS_DIAGNOSIS,diag_12b771d4,,,
diag_12b771d4,HAS_RISK,risk_very_healthy,,,
od_5891f7e2,SUPPORTS_DIAGNOSIS,diag_12b771d4,cup_to_disc_ratio,0.3,
img_c4400b5d,HAS_OPTIC_DISC,od_9f83ee44,,,
img_c4400b5d,HAS_RIM,rim_dfb0c459,,,
img_c4400b5d,HAS_PATHOLOGY,path_a349640e,,,
img_c4400b5d,HAS_DIAGNOSIS,diag_6c82c8d0,,,
diag_6c82c8d0,HAS_RISK,risk_very_healthy,,,
od_9f83ee44,SUPPORTS_DIAGNOSIS,diag_6c82c8d0,cup_to_disc_ratio,0.4,
img_da07de86,HAS_OPTIC_DISC,od_e25508a4,,,
img_da07de86,HAS_RIM,rim_03d245cd,,,
img_da07de86,HAS_PATHOLOGY,path_34ea5449,,,
img_da07de86,HAS_DIAGNOSIS,diag_b1144ad3,,,
diag_b1144ad3,HAS_RISK,risk_high_risk,,,
od_e25508a4,SUPPORTS_DIAGNOSIS,diag_b1144ad3,cup_to_disc_ratio,0.8,
rim_03d245cd,SUPPORTS_DIAGNOSIS,diag_b1144ad3,isnt_rule_violated,true,
path_34ea5449,SUPPORTS_DIAGNOSIS,diag_b1144ad3,"bayoneting,notching,laminar_dot_sign",true,
img_cd4c1ace,HAS_OPTIC_DISC,od_633d1633,,,
img_cd4c1ace,HAS_RIM,rim_b7a755c4,,,
img_cd4c1ace,HAS_PATHOLOGY,path_0e36d2cb,,,
img_cd4c1ace,HAS_DIAGNOSIS,diag_111d0a2d,,,
diag_111d0a2d,HAS_RISK,risk_moderate_risk,,,
od_633d1633,SUPPORTS_DIAGNOSIS,diag_111d0a2d,cup_to_disc_ratio,0.7,
rim_b7a755c4,SUPPORTS_DIAGNOSIS,diag_111d0a2d,isnt_rule_violated,true,
img_94f62482,HAS_OPTIC_DISC,od_1444d522,,,
img_94f62482,HAS_RIM,rim_491e8a4d,,,
img_94f62482,HAS_PATHOLOGY,path_c635d4de,,,
img_94f62482,HAS_DIAGNOSIS,diag_24df77a7,,,
diag_24df77a7,HAS_RISK,risk_very_healthy,,,
od_1444d522,SUPPORTS_DIAGNOSIS,diag_24df77a7,cup_to_disc_ratio,0.4,
img_89fb6252,HAS_OPTIC_DISC,od_78616625,,,
img_89fb6252,HAS_RIM,rim_d62fda43,,,
img_89fb6252,HAS_PATHOLOGY,path_fbae35de,,,
img_89fb6252,HAS_DIAGNOSIS,diag_22dbc709,,,
diag_22dbc709,HAS_RISK,risk_very_healthy,,,
od_78616625,SUPPORTS_DIAGNOSIS,diag_22dbc709,cup_to_disc_ratio,0.4,
img_542daac3,HAS_OPTIC_DISC,od_6da56f98,,,
img_542daac3,HAS_RIM,rim_10da7669,,,
img_542daac3,HAS_PATHOLOGY,path_d01a72d6,,,
img_542daac3,HAS_DIAGNOSIS,diag_f4b4809e,,,
diag_f4b4809e,HAS_RISK,risk_high_risk,,,
od_6da56f98,SUPPORTS_DIAGNOSIS,diag_f4b4809e,cup_to_disc_ratio,0.7,
rim_10da7669,SUPPORTS_DIAGNOSIS,diag_f4b4809e,isnt_rule_violated,true,
img_be86f99e,HAS_OPTIC_DISC,od_dfa7a1db,,,
img_be86f99e,HAS_RIM,rim_e88814e1,,,
img_be86f99e,HAS_PATHOLOGY,path_e865311f,,,
img_be86f99e,HAS_DIAGNOSIS,diag_44773567,,,
diag_44773567,HAS_RISK,risk_high_risk,,,
od_dfa7a1db,SUPPORTS_DIAGNOSIS,diag_44773567,cup_to_disc_ratio,0.8,
rim_e88814e1,SUPPORTS_DIAGNOSIS,diag_44773567,isnt_rule_violated,true,
path_e865311f,SUPPORTS_DIAGNOSIS,diag_44773567,"bayoneting,notching,laminar_dot_sign",true,
img_35804b5d,HAS_OPTIC_DISC,od_9052890c,,,
img_35804b5d,HAS_RIM,rim_db1c092d,,,
img_35804b5d,HAS_PATHOLOGY,path_45b0a19d,,,
img_35804b5d,HAS_DIAGNOSIS,diag_76ffaa24,,,
diag_76ffaa24,HAS_RISK,risk_high_risk,,,
od_9052890c,SUPPORTS_DIAGNOSIS,diag_76ffaa24,cup_to_disc_ratio,0.8,
rim_db1c092d,SUPPORTS_DIAGNOSIS,diag_76ffaa24,isnt_rule_violated,true,
path_45b0a19d,SUPPORTS_DIAGNOSIS,diag_76ffaa24,"bayoneting,notching,laminar_dot_sign",true,
img_03d3e37d,HAS_OPTIC_DISC,od_0bfb3670,,,
img_03d3e37d,HAS_RIM,rim_662e7e91,,,
img_03d3e37d,HAS_PATHOLOGY,path_21fccbb0,,,
img_03d3e37d,HAS_DIAGNOSIS,diag_f6e20591,,,
diag_f6e20591,HAS_RISK,risk_very_healthy,,,
od_0bfb3670,SUPPORTS_DIAGNOSIS,diag_f6e20591,cup_to_disc_ratio,0.3,
img_a95046a7,HAS_OPTIC_DISC,od_dc4ed8ad,,,
img_a95046a7,HAS_RIM,rim_e4f52c11,,,
img_a95046a7,HAS_PATHOLOGY,path_a448b9ed,,,
img_a95046a7,HAS_DIAGNOSIS,diag_c6aa4d06,,,
diag_c6aa4d06,HAS_RISK,risk_high_risk,,,
od_dc4ed8ad,SUPPORTS_DIAGNOSIS,diag_c6aa4d06,cup_to_disc_ratio,0.8,
rim_e4f52c11,SUPPORTS_DIAGNOSIS,diag_c6aa4d06,isnt_rule_violated,true,
path_a448b9ed,SUPPORTS_DIAGNOSIS,diag_c6aa4d06,"bayoneting,notching,laminar_dot_sign",true,
img_a1146ef5,HAS_OPTIC_DISC,od_6f92a96d,,,
img_a1146ef5,HAS_RIM,rim_5c78f183,,,
img_a1146ef5,HAS_PATHOLOGY,path_86b804d1,,,
img_a1146ef5,HAS_DIAGNOSIS,diag_11133fb6,,,
diag_11133fb6,HAS_RISK,risk_very_healthy,,,
od_6f92a96d,SUPPORTS_DIAGNOSIS,diag_11133fb6,cup_to_disc_ratio,0.3,
img_419dd6f9,HAS_OPTIC_DISC,od_60afafb8,,,
img_419dd6f9,HAS_RIM,rim_11483d8a,,,
img_419dd6f9,HAS_PATHOLOGY,path_7ca8f48b,,,
img_419dd6f9,HAS_DIAGNOSIS,diag_672bff11,,,
diag_672bff11,HAS_RISK,risk_high_risk,,,
od_60afafb8,SUPPORTS_DIAGNOSIS,diag_672bff11,cup_to_disc_ratio,0.8,
rim_11483d8a,SUPPORTS_DIAGNOSIS,diag_672bff11,isnt_rule_violated,true,
path_7ca8f48b,SUPPORTS_DIAGNOSIS,diag_672bff11,"bayoneting,notching",true,
img_cd910619,HAS_OPTIC_DISC,od_ab853103,,,
img_cd910619,HAS_RIM,rim_4e1ac3bb,,,
img_cd910619,HAS_PATHOLOGY,path_b952a898,,,
img_cd910619,HAS_DIAGNOSIS,diag_497d76d6,,,
diag_497d76d6,HAS_RISK,risk_moderate_risk,,,
od_ab853103,SUPPORTS_DIAGNOSIS,diag_497d76d6,cup_to_disc_ratio,0.7,
rim_4e1ac3bb,SUPPORTS_DIAGNOSIS,diag_497d76d6,isnt_rule_violated,true,
img_713c93d0,HAS_OPTIC_DISC,od_c2e736f6,,,
img_713c93d0,HAS_RIM,rim_ec98d161,,,
img_713c93d0,HAS_PATHOLOGY,path_7acd9a5b,,,
img_713c93d0,HAS_DIAGNOSIS,diag_8de5ce89,,,
diag_8de5ce89,HAS_RISK,risk_high_risk,,,
od_c2e736f6,SUPPORTS_DIAGNOSIS,diag_8de5ce89,cup_to_disc_ratio,0.8,
rim_ec98d161,SUPPORTS_DIAGNOSIS,diag_8de5ce89,isnt_rule_violated,true,
path_7acd9a5b,SUPPORTS_DIAGNOSIS,diag_8de5ce89,"bayoneting,notching",true,
img_508aee78,HAS_OPTIC_DISC,od_4f630a59,,,
img_508aee78,HAS_RIM,rim_73d45518,,,
img_508aee78,HAS_PATHOLOGY,path_1eed0051,,,
img_508aee78,HAS_DIAGNOSIS,diag_5f50a39a,,,
diag_5f50a39a,HAS_RISK,risk_high_risk,,,
od_4f630a59,SUPPORTS_DIAGNOSIS,diag_5f50a39a,cup_to_disc_ratio,0.8,
rim_73d45518,SUPPORTS_DIAGNOSIS,diag_5f50a39a,isnt_rule_violated,true,
path_1eed0051,SUPPORTS_DIAGNOSIS,diag_5f50a39a,"bayoneting,notching,laminar_dot_sign",true,
img_f042e9c0,HAS_OPTIC_DISC,od_a4a93d57,,,
img_f042e9c0,HAS_RIM,rim_b603ed8b,,,
img_f042e9c0,HAS_PATHOLOGY,path_828b7ff6,,,
img_f042e9c0,HAS_DIAGNOSIS,diag_5ce5fd40,,,
diag_5ce5fd40,HAS_RISK,risk_very_healthy,,,
od_a4a93d57,SUPPORTS_DIAGNOSIS,diag_5ce5fd40,cup_to_disc_ratio,0.4,
img_833b0251,HAS_OPTIC_DISC,od_3ca545b0,,,
img_833b0251,HAS_RIM,rim_332c36a1,,,
img_833b0251,HAS_PATHOLOGY,path_db41812e,,,
img_833b0251,HAS_DIAGNOSIS,diag_5f848d60,,,
diag_5f848d60,HAS_RISK,risk_very_healthy,,,
od_3ca545b0,SUPPORTS_DIAGNOSIS,diag_5f848d60,cup_to_disc_ratio,0.4,
img_9a512d6e,HAS_OPTIC_DISC,od_a6b8ec92,,,
img_9a512d6e,HAS_RIM,rim_65955288,,,
img_9a512d6e,HAS_PATHOLOGY,path_2c20bda5,,,
img_9a512d6e,HAS_DIAGNOSIS,diag_da7e657f,,,
diag_da7e657f,HAS_RISK,risk_high_risk,,,
od_a6b8ec92,SUPPORTS_DIAGNOSIS,diag_da7e657f,cup_to_disc_ratio,0.7,
rim_65955288,SUPPORTS_DIAGNOSIS,diag_da7e657f,isnt_rule_violated,true,
path_2c20bda5,SUPPORTS_DIAGNOSIS,diag_da7e657f,"bayoneting,notching,laminar_dot_sign",true,
img_10c603f6,HAS_OPTIC_DISC,od_0c68c994,,,
img_10c603f6,HAS_RIM,rim_8ac1a35b,,,
img_10c603f6,HAS_PATHOLOGY,path_7a8ace51,,,
img_10c603f6,HAS_DIAGNOSIS,diag_62600f50,,,
diag_62600f50,HAS_RISK,risk_high_risk,,,
od_0c68c994,SUPPORTS_DIAGNOSIS,diag_62600f50,cup_to_disc_ratio,0.7,
rim_8ac1a35b,SUPPORTS_DIAGNOSIS,diag_62600f50,isnt_rule_violated,true,
path_7a8ace51,SUPPORTS_DIAGNOSIS,diag_62600f50,"bayoneting,notching",true,
img_1f5aad34,HAS_OPTIC_DISC,od_8ef9f23f,,,
img_1f5aad34,HAS_RIM,rim_715cab26,,,
img_1f5aad34,HAS_PATHOLOGY,path_4cb40258,,,
img_1f5aad34,HAS_DIAGNOSIS,diag_fef7c218,,,
diag_fef7c218,HAS_RISK,risk_high_risk,,,
od_8ef9f23f,SUPPORTS_DIAGNOSIS,diag_fef7c218,cup_to_disc_ratio,0.8,
rim_715cab26,SUPPORTS_DIAGNOSIS,diag_fef7c218,isnt_rule_violated,true,
path_4cb40258,SUPPORTS_DIAGNOSIS,diag_fef7c218,"bayoneting,notching,laminar_dot_sign",true,
img_99097ab5,HAS_OPTIC_DISC,od_36f03ddf,,,
img_99097ab5,HAS_RIM,rim_1db8122f,,,
img_99097ab5,HAS_PATHOLOGY,path_aba4f8fa,,,
img_99097ab5,HAS_DIAGNOSIS,diag_249bfae8,,,
diag_249bfae8,HAS_RISK,risk_high_risk,,,
od_36f03ddf,SUPPORTS_DIAGNOSIS,diag_249bfae8,cup_to_disc_ratio,0.7,
rim_1db8122f,SUPPORTS_DIAGNOSIS,diag_249bfae8,isnt_rule_violated,true,
img_0f077cdc,HAS_OPTIC_DISC,od_25fe61a8,,,
